title,href,price,property_type
2 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/c-7-windmills/18-18-muller-street-south/T3369821,R 505 000,Apartment
2 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/T4462003,R 510 000,Apartment
2 Bed Apartment in Petervale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/petervale/198-pebble-falls/25-graaff-ave/T3916231,R 520 000,Apartment
4 Bed House in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/T3180932,On Auction,House
1.5 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/T4507982,R 400 000,Apartment
Studio Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/T4210991,Sold,Apartment
1 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/T4147178,R 410 000,Apartment
1 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4509386,R 425 000,Apartment
2 Bed House in Highlands North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/highlands-north/T4249451,Sold,House
1 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/T4230092,R 435 000,Apartment
Studio apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4539646,R 450 000,Studio
Studio apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4539525,R 450 000,Studio
2 Bed Apartment in Savoy Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/savoy-estate/T3947316,R 480 000,Apartment
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4053165,R 489 000,Apartment
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4053166,R 489 000,Apartment
1 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4146435,R 499 000,Apartment
1 Bed Apartment in Norwood,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/norwood/T4477852,R 539 000,Apartment
3 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/T4382251,R 545 095,Apartment
2 Bed Apartment in Highlands North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/highlands-north/T4513476,R 550 000,Apartment
1 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4235542,R 550 000,Apartment
2 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/103-michaelangelo/1-lapworth-rd/T4342254,R 575 000,Apartment
2 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/T4267599,R 575 000,Apartment
1 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4425300,R 590 000,Apartment
4 Bed House in Northcliff,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/northcliff/7-stuart-place/T4488783,On Auction,House
1 Bed Apartment in Sophiatown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/sophiatown/T4358762,R 200 000,Apartment
1 Bed Flat in Bosmont,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/bosmont/T4456085,R 230 000,Flat
1 Bed Apartment in Sophiatown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/sophiatown/T4329358,R 250 000,Apartment
1 Bed Apartment in Riverlea,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/riverlea/T4339328,R 269 500,Apartment
1 Bed Townhouse in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/67a-villa-barcelona/69-johannes-road/T4535315,R 270 000,Townhouse
3 Bed Apartment in Riverlea,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/riverlea/T4271778,R 275 000,Apartment
1 Bed Apartment in Riverlea,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/riverlea/84-lena/84-lena-street/T4477474,R 280 000,Apartment
1 Bed Apartment in Sophiatown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/sophiatown/T4507011,R 289 000,Apartment
1 Bed Apartment in Montgomery Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/montgomery-park/4-ss-villa-barcelona/69-johannes-road/T4434351,R 295 000,Apartment
1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/106-villa-barcelona/106-van-zyl-street/T4326441,R 299 000,Apartment
1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/82-villa-barcelona/2-van-zyl-street/T4339489,R 299 000,Apartment
1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/102-villa-barcelona/69-van-zyl-street/T4446494,R 300 000,Apartment
1 Bed Apartment in Sophiatown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/sophiatown/145-limpopo/96-gibson-street/T4503165,R 300 000,Apartment
1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/2-van-zyl/T3877511,R 300 000,Apartment
1 Bed Apartment in Sophiatown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/sophiatown/T3942018,R 300 000,Apartment
1 Bed Apartment in Sophiatown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/sophiatown/T4462001,R 310 000,Apartment
1 Bed Apartment in Sophiatown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/sophiatown/T4452453,R 310 000,Apartment
1 Bed House in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/13-plein-street/T4405894,R 315 000,House
1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/15a-villa-barcelona/69-johannes-road/T4326872,R 315 000,Apartment
10 Bed House in Meredale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/meredale/36-david-street/T4330161,On Auction,House
4 Bed House in Liefde en Vrede,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/liefde-en-vrede/55-riethaan-crescent/T4532907,On Auction,House
3 Bed House in Sky City,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/sky-city/T4541647,R 90 450,House
1 Bed House in Palmridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4375872,R 190 000,House
2 Bed House in Katlehong,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4174840,R 200 000,House
2 Bed House in Katlehong,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4409587,R 230 000,House
2 Bed House in Katlehong,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4174845,R 230 000,House
2 Bed House in Palmridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4300323,R 230 000,House
