Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Lounges,Kitchen,Main Value 3,Price,Floor Area,Province,City,Suburb,Area,Price per Sqm,Type,Max Price,Max Price Href,Potential Profit
5343,3 Bed House in Sky City,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/sky-city/4678-stonefish-street/T4498012,3.0,2.0,1.0,1.0,RatesR 550,850000.0,75.0,gauteng,johannesburg,johannesburg-south,sky-city,11333.333333333334,House,850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/sky-city/4678-stonefish-street/T4498012,0.0
3820,3 Bed Townhouse in Ormonde,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ormonde/T4209574,3.0,2.0,1.0,1.0,,749000.0,66.0,gauteng,johannesburg,johannesburg-south,ormonde,11348.484848484848,,880000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ormonde/9-villa-egoli/43-wrexham-road/T4478984,131000.0
7601,3 Bed Simplex in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4436151,3.0,2.0,1.0,,RatesR 1089,1499000.0,132.0,gauteng,johannesburg,johannesburg-south,bassonia,11356.060606060606,,1499000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4436151,0.0
6467,2 Bed Apartment in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4091079,2.0,1.0,,1.0,RatesR 636,750000.0,66.0,gauteng,johannesburg,johannesburg-south,oakdene,11363.636363636364,Apartment,750000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4091079,0.0
6445,2 Bed Townhouse in Mulbarton,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mulbarton/Z48018,2.0,1.0,1.0,1.0,LevyR 1250,750000.0,66.0,gauteng,johannesburg,johannesburg-south,mulbarton,11363.636363636364,,750000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mulbarton/Z48018,0.0
5146,2 Bed Townhouse in Haddon,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/haddon/14-forest-view/27-carter-road/T4361194,2.0,1.0,1.0,1.0,LevyR 1045,649000.0,57.0,gauteng,johannesburg,johannesburg-south,haddon,11385.964912280702,,649000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/haddon/14-forest-view/27-carter-road/T4361194,0.0
7259,2 Bed House in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4407305,2.0,1.0,,1.0,RatesR 844,1150000.0,101.0,gauteng,johannesburg,johannesburg-south,oakdene,11386.138613861385,House,1150000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4407305,0.0
7252,2 Bed Townhouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4433565,2.0,1.0,1.0,1.0,LevyR 1178,1150000.0,101.0,gauteng,johannesburg,johannesburg-south,oakdene,11386.138613861385,,1399000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/186-balboa-park/100100-oakdene-parks-drive/T4448585,249000.0
7256,2 Bed Townhouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4419701,2.0,1.0,1.0,,LevyR 1178,1150000.0,101.0,gauteng,johannesburg,johannesburg-south,oakdene,11386.138613861385,,1399000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/186-balboa-park/100100-oakdene-parks-drive/T4448585,249000.0
4520,2 Bed Townhouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/33-sashan-complex/19-comaro-street/T4424779,2.0,1.0,1.0,1.0,LevyR 1178,1150000.0,101.0,gauteng,johannesburg,johannesburg-south,oakdene,11386.138613861385,,1399000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/186-balboa-park/100100-oakdene-parks-drive/T4448585,249000.0
