Area,,Title,Href,Bedrooms,Bathrooms,Lounges,Main Value 3,Price,Dining Areas,Pool,Floor Area,Land Area,Province,City,Suburb,Area,Price per Sqm,Price per Land Area,Type,Max Price,Max Price Href,Potential Profit
beverley,18115,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4159435,3.0,2.0,,LevyR 1220,2195000.0,1.0,1.0,,560.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,,3919.6428571428573,House,2999000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/002-mulbarton-gardens/34-mulbarton-road/T4063227,804000.0
beverley,18155,3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/T4338233,3.0,2.0,2.0,LevyR 1550,2270000.0,1.0,,,491.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,,4623.217922606925,House,2999000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/002-mulbarton-gardens/34-mulbarton-road/T4063227,729000.0
birdhaven,1398,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4017254,4.0,4.0,3.0,RatesR 5025,5500000.0,1.0,,700.0,1200.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,7857.142857142857,4583.333333333333,House,6490000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4324342,990000.0
birdhaven,386,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/69-melrose-street/T4290343,4.0,2.5,3.0,,5250000.0,1.0,1.0,,3053.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,1719.6200458565345,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,1699000.0
birdhaven,408,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/47-ravenswood-road/T4403356,4.0,3.5,3.0,,6900000.0,,1.0,,3044.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,2266.754270696452,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,49000.0
birdhaven,508,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/89-tyrwhitt-avenue/T4313710,4.0,4.5,3.0,,6800000.0,1.0,1.0,,4155.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,1636.5824308062574,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,149000.0
birdhaven,1424,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4508724,4.0,3.0,1.0,,6490000.0,1.0,1.0,,3010.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,2156.1461794019933,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,459000.0
birdhaven,1439,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4424468,4.0,4.0,2.0,,6800000.0,1.0,1.0,,4162.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,1633.8298894762133,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,149000.0
birdhaven,1440,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4388192,4.0,4.5,1.0,,6800000.0,1.0,1.0,,4162.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,1633.8298894762133,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,149000.0
birdhaven,1446,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4368438,4.0,3.5,2.0,LevyR 3900,6900000.0,1.0,1.0,,3038.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,2271.231073074391,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,49000.0
birdhaven,1447,4 Bed House in Birdhaven,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4360841,4.0,3.5,3.0,,6900000.0,1.0,1.0,,3039.0,gauteng,johannesburg,rosebank-and-parktown,birdhaven,,2270.4837117472853,House,6949000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/birdhaven/T4478741,49000.0
blairgowrie,23018,3 Bed House in Blairgowrie,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/T4472995,3.0,1.5,1.0,RatesR 1174,1650000.0,1.0,,257.0,1087.0,gauteng,johannesburg,randburg-and-ferndale,blairgowrie,6420.23346303502,1517.9392824287029,House,1795000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/T4478673,145000.0
blairgowrie,22457,3 Bed House in Blairgowrie,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/29-kangnussie-road/T4401226,3.0,2.0,1.0,RatesR 1300,1690000.0,1.0,1.0,220.0,1050.0,gauteng,johannesburg,randburg-and-ferndale,blairgowrie,7681.818181818182,1609.5238095238096,House,2445000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/21-connel-road/T3206712,755000.0
blairgowrie,22645,3 Bed House in Blairgowrie,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/37-balvicar-road/T4256939,3.0,2.0,1.0,,1999900.0,1.0,1.0,250.0,908.0,gauteng,johannesburg,randburg-and-ferndale,blairgowrie,7999.6,2202.533039647577,House,2300000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/blairgowrie/101-barkston-drive/T4474642,300100.0
