,Title,Href
151,1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/14-ipanema/15-8th-street/T4420551
152,2 Bed Apartment in Parkwood,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkwood/23-parkwood-manor/7-patkwood/T4288979
153,2 Bed Apartment in Fairway,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/a-park-manor/39-corlett/T4510532
154,1 Bed Apartment in Melrose North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/50-kernick-avenue/T4473225
155,2 Bed Apartment in Melrose North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/c0-the-melrose/36-kernick-avenue/T4474552
156,1 Bed Apartment in Riviera,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/riviera/98-splice/2-main-avenue/Z47837
157,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/19-dunvarno/49-lancaster-avenue/T3977078
158,2 Bed Apartment in Fairway,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/headingley/1-jacobs-ave/T4481788
159,2 Bed Apartment in Melrose,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose/4-melrose-court/15-melrose-street/T4273784
160,2 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/9-ss-castlerosse/5-8th-street/T3353206
161,4 Bed House in Highlands North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/highlands-north/127-7th-avenue/T4409521
162,2 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/102-flex-on-murray/2-murray-street/T4193927
163,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/10-one-grosvenor/1-grosvenor-avenue/T3895136
164,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/13-hyde-park-heights/343-jan-smuts-avenue/T4134237
165,2 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/01-cranwell-hall/6-1-street/T3744746
166,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/412-the-tyrwhitt/29-bath-avenue/T4020572
167,1 Bed Apartment in Parktown North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown-north/8-512-on-second/40-2nd-avenue/T4265951
168,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/m-broadlands/54-tyrwhitt-avenue/T4455096
169,3 Bed Flat in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/110-gleneagles/25-2nd-street/Z47762
170,2 Bed Apartment in Melrose North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/47-atholl-oaklands-road/T4477383
