title,href,Status,property_type,main_features,key_main_features,Floor Area,Land Area,Rates,Levy,Bedrooms,Bathrooms,Province,City,Suburb,Area,Listing Number,Sold Date,previously listed price
3 Bed House in Melville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/melville/73-7th-avenue/T4353639,Sold,House,,,,374 m²,R 1136,,3.0,2.0,gauteng,johannesburg,northcliff,melville,T4353639,2024-02-23,
2.5 Bed Townhouse in Mulbarton,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mulbarton/53-villa-bela/9-little-loop-road/T4394536,Sold,Townhouse,,,88 ,,R 695,,2.5,1.5,gauteng,johannesburg,johannesburg-south,mulbarton,T4394536,2024-02-26,1095000.0
3 Bed Cluster in North Riding,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/north-riding/20-ninety-three-bellairs/93-bellairs-drive/T4337063,Sold,Cluster,"{'Land Area': '582 m²', 'Rates': 'R 1219', 'Levy': 'R 1908'}","{'Bedrooms': '3', 'Bathrooms': '2', 'En-suite': '1', 'Garages': '2', 'Lounges': '2', 'Access Gate': '✔', 'Air Con': '✔', 'BIC': '✔', 'Garden': '✔', 'Irrigation System': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Pet Friendly': '✔', 'Walk In Closet': '✔'}",0,582,1219,1908,3.0,2.0,gauteng,johannesburg,north-riding-to-lanseria,north-riding,T4337063,2024-03-03,1995000.0
3 Bed House in Bergbron,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/bergbron/T4334932,Sold,House,"{'Land Area': '1421 m²', 'Rates': 'R 1113'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Garages': '2', 'Lounges': '3', 'Garden': '✔', 'Pet Friendly': '✔'}",0,1421,1113,0,3.0,2.0,gauteng,johannesburg,northcliff,bergbron,T4334932,2024-03-03,1750000.0
2 Bed Apartment in Buccleuch,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/buccleuch/116-river-glen/20-denise-road/T4343286,Sold,Apartment,"{'Floor Area': '82 m²', 'Rates': 'R 484', 'Levy': 'R 1659'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Dining Areas': '1', 'En-suite': '1', 'Lounges': '1', 'Open Parkings': '1', 'Access Gate': '✔', 'Club House': '✔', 'Electric Fencing': '✔', 'Family Tv Room': '✔', 'Garden': '✔', 'Guest Toilet': '✔', 'Intercom': '✔', 'Kitchen': '✔', 'Pantry': '✔', 'Patio': '✔', 'Paving': '✔', 'Pool': '✔', 'Security Post': '✔', 'Wheel Chair Friendly': '✔'}",82,0,484,1659,2.0,2.0,gauteng,johannesburg,sandton-and-bryanston-north,buccleuch,T4343286,2024-03-03,835000.0
1 Bed Apartment in Sandown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/sandown/T4374312,Sold,Apartment,"{'Floor Area': '60 m²', 'Rates': 'R 734', 'Levy': 'R 1681'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Covered Parkings': '1', 'Dining Areas': '1', 'Lounges': '1', 'Furnished': '✔', 'Kitchen': '✔', 'Pool': '✔'}",60,0,734,1681,1.0,1.0,gauteng,johannesburg,sandton-and-bryanston-north,sandown,T4374312,2024-03-03,849000.0
3 Bed House in Westdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/westdene/42a-2nd-avenue/T4334001,Sold,House,"{'Floor Area': '177 m²', 'Land Area': '496 m²', 'Rates': 'R 550'}","{'Bedrooms': '3', 'Bathrooms': '1', 'Dining Areas': '1', 'Garages': '1', 'Lounges': '1', 'Pet Friendly': '✔', 'Security Post': '✔', 'Staff Quarters': '✔'}",177,496,550,0,3.0,1.0,gauteng,johannesburg,northcliff,westdene,T4334001,2024-03-03,899000.0
2 Bed Apartment in Rivonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/rivonia/2018-the-link/16-11th-avenue/T4497287,Sold,Apartment,"{'Land Area': '54 m²', 'Rates': 'R 680', 'Levy': 'R 1700'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Dining Areas': '1', 'Lounges': '1', 'Balcony': '✔', 'Pool': '✔', 'Security Post': '✔'}",0,54,680,1700,2.0,1.0,gauteng,johannesburg,sandton-and-bryanston-north,rivonia,T4497287,2024-03-03,849000.0
3 Bed Cluster in Sandown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/sandown/T4387524,Sold,Cluster,"{'Floor Area': '100 m²', 'Rates': 'R 1172', 'Levy': 'R 3000'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Dining Areas': '1', 'Garages': '2', 'Lounges': '1', 'Pool': '✔', 'Security Post': '✔'}",100,0,1172,3000,3.0,2.0,gauteng,johannesburg,sandton-and-bryanston-north,sandown,T4387524,2024-03-03,1350000.0
2 Bed Townhouse in Fairland,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/fairland/63-kessel-st/T4416875,Sold,Townhouse,"{'Floor Area': '121 m²', 'Land Area': '2976 m²', 'Rates': 'R 1178', 'Levy': 'R 2876'}","{'Bedrooms': '2', 'Bathrooms': '1.5', 'Garages': '1', 'Lounges': '1', 'Garden': '✔'}",121,2976,1178,2876,2.0,1.5,gauteng,johannesburg,northcliff,fairland,T4416875,2024-03-03,940000.0
