Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Covered Parkings,Lounges,Storeys,Access Gate,Balcony,BIC,Electric Fencing,Kitchen,Security Post,Main Value 3,Price,Dining Areas,En-suite,Open Parkings,Alarm,Entrance Hall,Family Tv Room,Fenced,Fireplace,Garden,Guest Toilet,Intercom,Laundry,Pantry,Patio,Paving,Pet Friendly,Pool,Scullery,Staff Quarters,Storage,Study,Garages,Flatlets,Satellite,Wheel Chair Friendly,Main Value 4,Gym,Air Con,Scenic View,Club House,Deck,Built In Braai,Garden Cottage,Walk In Closet,Lapa,Irrigation System,Golf Course,Water Included,Furnished,Tv,Tennis Court,Spa Bath,Squash Court,Sea View,Jetty Berth,Borehole,Electricity Included,Floor Area,Land Area,Rates,Levy,Province,City,Suburb,Area,Sold Date,List ID
17672,2 Bed House in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/T4299824,2,2,None,1,None,None,None,None,None,None,None,LevyR 1124,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,80 m²RatesR 1132,,R 1132,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,2024-02-23,T4299824
17686,3 Bed Apartment in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/T4142555,3,3,1,1,None,✔,✔,✔,✔,✔,✔,LevyR 3492,Sold,1,2,None,None,None,None,None,None,None,None,✔,None,✔,✔,✔,✔,✔,None,None,None,None,None,None,None,None,None,None,None,✔,None,None,✔,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,166 m²RatesR 1172,,R 1172,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,2024-02-23,T4142555
17751,2 Bed Townhouse in Douglasdale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/douglasdale/T4239663,2,2,2,2,None,None,✔,None,None,✔,None,LevyR 3224,Sold,1,None,None,None,None,None,None,None,✔,None,None,None,None,✔,None,✔,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,146 m²RatesR 878,,R 878,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,douglasdale,2024-02-23,T4239663
17778,2 Bed Apartment in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/T4452960,2,2,2,None,None,None,None,None,None,None,None,LevyR 1743,Sold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19019 m²,109 m²,,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,2024-02-23,T4452960
17779,2 Bed Apartment in Lonehill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/lonehill/T4308434,2,1,1,None,None,None,None,✔,None,✔,None,None,Sold,None,None,None,None,None,None,None,None,✔,None,None,None,None,✔,None,✔,✔,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,✔,None,None,None,None,✔,None,None,None,None,None,None,116 m²LevyR 2434,,,R 2434,gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,2024-02-23,T4308434
17780,2 Bed Cluster in Lonehill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/lonehill/T4243688,2,2,None,None,None,None,None,✔,None,✔,None,LevyR 1864,Sold,None,1,None,None,None,None,None,None,✔,None,None,None,None,None,None,✔,✔,None,None,None,None,2,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,83 m²RatesR 778,,R 778,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,2024-02-23,T4243688
17792,3 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/T4394005,3,2,1,2,None,None,None,None,None,None,None,RatesR 949,Sold,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,✔,✔,None,None,None,None,None,None,None,None,LevyR 3558,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,102 m²,1 ha,,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,2024-02-23,T4394005
17836,2 Bed Apartment in Lonehill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/lonehill/T4265148,2,2,1,2,None,None,✔,✔,None,✔,✔,None,Sold,None,1,None,None,✔,None,None,✔,None,None,None,None,✔,✔,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,117 m²LevyR 2400,,,R 2400,gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,2024-02-23,T4265148
17855,2 Bed Duplex in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/T4354000,2,2,2,1,2,✔,✔,✔,✔,✔,✔,LevyR 3701,Sold,1,1,None,None,None,✔,✔,None,✔,None,✔,None,None,✔,✔,✔,✔,None,None,✔,None,None,None,None,None,None,None,✔,✔,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,146 m²RatesR 1117,,R 1117,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,2024-02-23,T4354000
17890,2 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/T3982883,2,2,2,1,None,✔,✔,✔,✔,✔,✔,LevyR 3163,Sold,None,1,None,None,None,None,None,None,✔,None,✔,None,None,None,None,✔,✔,None,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,106 m²RatesR 1081,,R 1081,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,2024-02-23,T3982883
17935,2 Bed Apartment in Lonehill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/lonehill/T4378104,2,2,2,2,None,None,None,None,None,✔,None,LevyR 2888,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,✔,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,110 m²RatesR 1158,,R 1158,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,2024-02-23,T4378104
17938,4 Bed House in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/T4342276,4,2,2,2,None,None,None,None,None,None,None,None,Sold,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,✔,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1465 m²,R 780,,gauteng,johannesburg,fourways-sunninghill-and-lonehill,bloubosrand,2024-02-23,T4342276
